description,category
"Needham & Company LLC reaffirmed their buy rating on shares of Veeva Systems (NYSE:VEEV – Free Report) in a report published on Friday, Benzinga reports. Needham & Company LLC currently has a $220.00 price target on the technology company’s stock. A number of…",Technology
"Mitsubishi UFJ Trust & Banking Corp trimmed its holdings in shares of Akamai Technologies, Inc. (NASDAQ:AKAM – Free Report) by 1.7% in the second quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The firm…",Technology
"Arista Networks (NYSE:ANET – Free Report) had its price target raised by The Goldman Sachs Group from $223.00 to $248.00 in a report released on Friday, Benzinga reports. The Goldman Sachs Group currently has a buy rating on the technology company’s stock. Se…",Technology
"Ieq Capital LLC lifted its position in The Trade Desk, Inc. (NASDAQ:TTD – Free Report) by 17.7% during the second quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The firm owned 8,492 shares of the technology…",Technology
"Bradley Foster & Sargent Inc. CT decreased its stake in shares of Block, Inc. (NYSE:SQ – Free Report) by 4.4% during the 2nd quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The firm owned 4,332 sh…",Technology
"Fisher Asset Management LLC grew its position in Infosys Limited (NYSE:INFY – Free Report) by 0.4% in the second quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission. The fund owned 15,802,620 shares of the technol…",Technology
"Sheaff Brock Investment Advisors LLC trimmed its stake in Gartner, Inc. (NYSE:IT – Free Report) by 1.2% in the second quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The institutional investor owned 4…",Technology
"Commerce Bank cut its stake in shares of CoStar Group, Inc. (NASDAQ:CSGP – Free Report) by 17.7% in the 2nd quarter, according to its most recent Form 13F filing with the SEC. The fund owned 50,167 shares of the technology company’s stock after selling 10,822…",Technology
"Everbridge (NASDAQ:EVBG – Free Report) had its price objective trimmed by Raymond James from $30.00 to $24.00 in a research note released on Friday morning, Benzinga reports. The brokerage currently has an outperform rating on the technology company’s stock. …",Technology
"Ballard Power Systems (NASDAQ:BLDP – Free Report) (TSE:BLD) had its price target lowered by Susquehanna from $5.00 to $4.00 in a research note published on Wednesday morning, Benzinga reports. The firm currently has a neutral rating on the technology company’…",Technology
"Ballard Power Systems (NASDAQ:BLDP – Free Report) (TSE:BLD) had its price target cut by National Bankshares from $7.00 to $5.00 in a research note released on Wednesday morning, BayStreet.CA reports. They currently have a sector perform rating on the technolo…",Technology
"Digi International (NASDAQ:DGII – Free Report) had its target price reduced by Piper Sandler from $50.00 to $30.00 in a research report released on Friday, Benzinga reports. They currently have an overweight rating on the technology company’s stock. Several o…",Technology
"Trade Desk (NASDAQ:TTD – Free Report) had its target price lowered by Morgan Stanley from $105.00 to $70.00 in a research note issued to investors on Friday morning, Benzinga reports. The brokerage currently has an overweight rating on the technology company’…",Technology
"BNP PARIBAS ASSET MANAGEMENT Holding S.A. boosted its position in shares of Twilio Inc. (NYSE:TWLO – Free Report) by 4.9% in the 2nd quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The institut…",Technology
"BNP PARIBAS ASSET MANAGEMENT Holding S.A. lessened its position in GoDaddy Inc. (NYSE:GDDY – Free Report) by 6.6% during the 2nd quarter, HoldingsChannel.com reports. The fund owned 35,222 shares of the technology company’s stock after selling 2,490 shares du…",Technology
"Sheaff Brock Investment Advisors LLC decreased its stake in Medtronic plc (NYSE:MDT – Free Report) by 3.5% during the 2nd quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The firm owned 13,001 shares o…",Technology
"Rhumbline Advisers grew its position in shares of Palo Alto Networks, Inc. (NASDAQ:PANW – Free Report) by 69.8% during the 2nd quarter, according to the company in its most recent filing with the SEC. The firm owned 555,072 shares of the network technology co…",Technology
"Chicago Partners Investment Group LLC lessened its stake in ServiceNow, Inc. (NYSE:NOW – Free Report) by 13.5% in the 2nd quarter, HoldingsChannel.com reports. The institutional investor owned 785 shares of the information technology services provider’s stock…",Technology
"Jacobi Capital Management LLC boosted its stake in shares of Fidelity National Information Services, Inc. (NYSE:FIS – Free Report) by 9.8% during the 2nd quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The f…",Technology
"Geneos Wealth Management Inc. increased its holdings in shares of QUALCOMM Incorporated (NASDAQ:QCOM – Free Report) by 26.1% during the 2nd quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission. The firm owned 21,00…",Technology
"Gogo (NASDAQ:GOGO – Free Report) had its price target trimmed by JPMorgan Chase & Co. from $18.00 to $15.00 in a report published on Wednesday morning, Benzinga reports. The firm currently has a neutral rating on the technology company’s stock. Several other …",Technology
"LivePerson (NASDAQ:LPSN – Free Report) had its price objective cut by Mizuho from $6.00 to $3.00 in a research note released on Friday, Benzinga reports. They currently have a neutral rating on the technology company’s stock. Several other equities research a…",Technology
StockNews.com started coverage on shares of Wilhelmina International (NASDAQ:WHLM – Free Report) in a research report sent to investors on Wednesday. The firm issued a buy rating on the technology company’s stock. Wilhelmina International Stock Up 3.0 % Share…,Technology
"Tucows (NASDAQ:TCX – Get Free Report) and Near Intelligence (NASDAQ:NIR – Get Free Report) are both small-cap computer and technology companies, but which is the superior stock? We will contrast the two businesses based on the strength of their profitability,…",Technology
"UBS Group initiated coverage on shares of SS&C Technologies (NASDAQ:SSNC – Free Report) in a research report sent to investors on Tuesday morning, Marketbeat Ratings reports. The brokerage issued a buy rating and a $72.00 price target on the technology compan…",Technology
"Varonis Systems (NASDAQ:VRNS – Free Report) had its price objective upped by Morgan Stanley from $39.00 to $42.00 in a research note released on Tuesday morning, Benzinga reports. The firm currently has an overweight rating on the technology company’s stock. …",Technology
"Archer Investment Corp grew its position in shares of QUALCOMM Incorporated (NASDAQ:QCOM – Free Report) by 43.1% during the second quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 2,824 shares of t…",Technology
"Chicago Partners Investment Group LLC increased its holdings in Arista Networks, Inc. (NYSE:ANET – Free Report) by 86.3% in the 2nd quarter, according to its most recent disclosure with the SEC. The firm owned 2,428 shares of the technology company’s stock af…",Technology
"Digi International (NASDAQ:DGII – Get Free Report) issued its quarterly earnings results on Thursday. The technology company reported $0.44 earnings per share for the quarter, beating analysts’ consensus estimates of $0.41 by $0.03, reports. The business had …",Technology
"Sheaff Brock Investment Advisors LLC lessened its stake in shares of The Trade Desk, Inc. (NASDAQ:TTD – Free Report) by 7.4% during the second quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The institutional in…",Technology
"Geneos Wealth Management Inc. boosted its stake in Accenture plc (NYSE:ACN – Free Report) by 6.1% in the second quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission. The firm owned 11,021 shares of the in…",Technology
"Arista Networks (NYSE:ANET – Free Report) had its target price boosted by Needham & Company LLC from $215.00 to $235.00 in a research report sent to investors on Friday, Benzinga reports. The firm currently has a buy rating on the technology company’s stock. …",Technology
"BNP PARIBAS ASSET MANAGEMENT Holding S.A. lessened its stake in shares of F5, Inc. (NASDAQ:FFIV – Free Report) by 81.1% in the 2nd quarter, according to the company in its most recent 13F filing with the SEC. The institutional investor owned 4,745 shares of t…",Technology
"Machina Capital S.A.S. bought a new position in shares of Twilio Inc. (NYSE:TWLO – Free Report) in the 2nd quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission (SEC). The firm bought 3,627 shares of the t…",Technology
"Sheaff Brock Investment Advisors LLC trimmed its position in Stryker Co. (NYSE:SYK – Free Report) by 57.2% during the second quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The fund owned 2,16…",Technology
"Mitsubishi UFJ Trust & Banking Corp lifted its position in AMETEK, Inc. (NYSE:AME – Free Report) by 12.4% in the second quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission (SEC). The institutional invest…",Technology
"Commerce Bank lessened its stake in shares of Fortive Co. (NYSE:FTV – Free Report) by 2.5% during the second quarter, according to its most recent filing with the Securities & Exchange Commission. The firm owned 58,180 shares of the technology company’s stock…",Technology
"Commerce Bank trimmed its position in Tyler Technologies, Inc. (NYSE:TYL – Free Report) by 13.0% during the second quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The firm owned 10,309 shares of the technolo…",Technology
"Globant (NYSE:GLOB – Free Report) had its target price cut by Piper Sandler Companies from $230.00 to $212.00 in a research note released on Friday morning, Stock Target Advisor reports. They currently have an overweight rating on the information technology s…",Technology
"Chicago Partners Investment Group LLC lifted its position in Medtronic plc (NYSE:MDT – Free Report) by 34.0% during the second quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The institutional …",Technology
"Mitsubishi UFJ Trust & Banking Corp lowered its stake in Dell Technologies Inc. (NYSE:DELL – Free Report) by 4.4% in the 2nd quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The institutional in…",Technology
"Arista Networks (NYSE:ANET – Free Report) had its target price upped by Piper Sandler from $190.00 to $209.00 in a report issued on Friday morning, Benzinga reports. Piper Sandler currently has a neutral rating on the technology company’s stock. Several other…",Technology
"Globant (NYSE:GLOB – Free Report) had its target price lowered by Piper Sandler from $230.00 to $212.00 in a report released on Friday, Benzinga reports. Piper Sandler currently has an overweight rating on the information technology services provider’s stock.…",Technology
"Acadian Asset Management LLC grew its holdings in shares of Asure Software, Inc. (NASDAQ:ASUR – Free Report) by 2,877.0% in the 2nd quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission. The fund owned 297…",Technology
"AlphaCentric Advisors LLC cut its stake in Hewlett Packard Enterprise (NYSE:HPE – Free Report) by 51.2% in the second quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The institutional investor owned 7,9…",Technology
"Wrapmanager Inc. increased its holdings in Relx Plc (NYSE:RELX – Free Report) by 10.5% in the 2nd quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission. The institutional investor owned 6,871 shares of the…",Technology
"JFrog Ltd. (NASDAQ:FROG – Get Free Report) CTO Yoav Landman sold 900 shares of the stock in a transaction dated Tuesday, November 7th. The stock was sold at an average price of $28.12, for a total value of $25,308.00. Following the completion of the sale, the…",Technology
StockNews.com began coverage on shares of Marchex (NASDAQ:MCHX – Free Report) in a research report released on Wednesday. The brokerage issued a hold rating on the technology company’s stock. Marchex Price Performance Marchex stock opened at $1.41 on Wednesda…,Technology
"Fidelity National Information Services (NYSE:FIS – Free Report) had its target price boosted by Truist Financial from $50.00 to $55.00 in a research note released on Wednesday morning, Benzinga reports. The brokerage currently has a hold rating on the informa…",Technology
"Krones AG (OTCMKTS:KRNTY – Get Free Report) saw a significant decrease in short interest in October. As of October 31st, there was short interest totalling 100 shares, a decrease of 66.7% from the October 15th total of 300 shares. Based on an average daily vo…",Technology
"Bank of America upgraded shares of KT (NYSE:KT – Free Report) from a neutral rating to a buy rating in a research report released on Tuesday, Marketbeat.com reports. Several other research firms also recently commented on KT. StockNews.com downgraded KT from …",Technology
"QuinStreet, Inc. (NASDAQ:QNST – Get Free Report) has earned an average rating of “Hold” from the five ratings firms that are currently covering the firm, Marketbeat Ratings reports. Three research analysts have rated the stock with a hold rating and two have …",Technology
"Millicom International Cellular S.A. (NASDAQ:TIGO – Get Free Report) was the recipient of a significant drop in short interest in the month of October. As of October 31st, there was short interest totalling 220,900 shares, a drop of 34.2% from the October 15t…",Technology
"ACI Worldwide, Inc. (NASDAQ:ACIW – Get Free Report)’s stock price traded up 8.6% on Thursday . The stock traded as high as $26.58 and last traded at $26.56. Approximately 1,007,075 shares traded hands during mid-day trading, an increase of 54% from the averag…",Technology
"Shares of Fidelity National Information Services, Inc. (NYSE:FIS – Get Free Report) have received an average rating of “Moderate Buy” from the twenty ratings firms that are presently covering the company, Marketbeat Ratings reports. One investment analyst has…",Technology
"musicMagpie plc (LON:MMAG – Get Free Report) traded down 2.5% on Thursday . The stock traded as low as GBX 19.15 ($0.24) and last traded at GBX 19.50 ($0.24). 295,309 shares changed hands during trading, a decline of 27% from the average session volume of 403…",Technology
"LIXIL Co. (OTCMKTS:JSGRY – Get Free Report) was the recipient of a significant drop in short interest in October. As of October 31st, there was short interest totalling 7,400 shares, a drop of 65.6% from the October 15th total of 21,500 shares. Based on an av…",Technology
StockNews.com started coverage on shares of Fuel Tech (NASDAQ:FTEK – Free Report) in a report published on Wednesday. The firm issued a hold rating on the industrial products company’s stock. FTEK has been the topic of a number of other reports. HC Wainwright…,Technology
"As Sam Bankman-Fried prepares to go to prison for one of the largest financial frauds in history, the cryptocurrency industry is looking ahead to a future without its former ""golden boy.""",Technology
"Kwara State governor, AbdulRahman AbdulRazaq, has appointed a narcotics expert, Olamilekan Aileru, as Special Assistant on Drug Abuse Prevention and Control and 28 other aides into the state cabinet. According to a statement signed by the Chief Press Secretar…",Technology
A 21-year-old motorcyclist was found nine hours after his mobile phone alerted police of a crash.,Technology
"Everbridge (NASDAQ:EVBG – Get Free Report) issued an update on its fourth quarter earnings guidance on Thursday morning. The company provided earnings per share (EPS) guidance of $0.48-$0.52 for the period, compared to the consensus estimate of $0.51. The com…",Technology
"Midwest Energy Emissions Corp. (OTCMKTS:MEEC – Get Free Report) was the recipient of a significant growth in short interest in October. As of October 31st, there was short interest totalling 13,300 shares, a growth of 166.0% from the October 15th total of 5,0…",Technology
"Digi International (NASDAQ:DGII – Get Free Report) issued an update on its first quarter 2024 earnings guidance on Thursday morning. The company provided EPS guidance of $0.41-$0.45 for the period, compared to the consensus EPS estimate of $0.53. The company …",Technology
"Diebold Nixdorf, Incorporated (NYSE:DBD – Get Free Report)’s stock price rose 11.2% on Thursday . The stock traded as high as $21.77 and last traded at $21.68. Approximately 21,827 shares changed hands during mid-day trading, a decline of 75% from the average…",Technology
"Fisher Asset Management LLC lifted its holdings in iShares Global Tech ETF (NYSEARCA:IXN – Free Report) by 6.6% in the second quarter, according to its most recent disclosure with the Securities & Exchange Commission. The fund owned 6,567,616 shares of the co…",Technology
"Yatra Online, Inc. (NASDAQ:YTRA – Get Free Report) saw a large decline in short interest in the month of October. As of October 31st, there was short interest totalling 15,700 shares, a decline of 56.4% from the October 15th total of 36,000 shares. Currently,…",Technology
"Matinas BioPharma (NYSEAMERICAN:MTNB – Get Free Report) announced its quarterly earnings results on Wednesday. The company reported ($0.03) EPS for the quarter, reports. Matinas BioPharma had a negative net margin of 479.18% and a negative return on equity of…",Technology
"Exxe Group Inc. (OTCMKTS:AXXA – Get Free Report) was the recipient of a large increase in short interest during the month of October. As of October 31st, there was short interest totalling 5,000 shares, an increase of 900.0% from the October 15th total of 500…",Technology
"PositiveID Co. (OTCMKTS:PSID – Get Free Report)’s stock price passed above its 200-day moving average during trading on Thursday . The stock has a 200-day moving average of $0.00 and traded as high as $0.00. PositiveID shares last traded at $0.00, with a volu…",Technology
"Majesco (NYSEAMERICAN:MJCO – Get Free Report)’s share price traded up 0.2% during mid-day trading on Thursday . The stock traded as high as $16.06 and last traded at $16.00. 903,400 shares changed hands during mid-day trading, an increase of 1,953% from the a…",Technology
"Shares of SBA Communications Co. (NASDAQ:SBAC – Get Free Report) have earned a consensus recommendation of “Moderate Buy” from the sixteen research firms that are presently covering the stock, MarketBeat Ratings reports. Three equities research analysts have …",Technology
"ServiceNow, Inc. (NYSE:NOW – Get Free Report) insider Paul John Smith sold 36 shares of the business’s stock in a transaction on Wednesday, November 8th. The stock was sold at an average price of $621.64, for a total transaction of $22,379.04. Following the c…",Technology
StockNews.com assumed coverage on shares of NTN Buzztime (NYSEAMERICAN:NTN – Free Report) in a report published on Friday. The brokerage issued a hold rating on the stock. NTN Buzztime Price Performance Shares of NTN opened at $1.18 on Friday. The company has…,Technology
"Avon Protection plc (OTCMKTS:AVNBF – Get Free Report) saw a significant decline in short interest in the month of October. As of October 31st, there was short interest totalling 100 shares, a decline of 91.7% from the October 15th total of 1,200 shares. Based…",Technology
"Heidelberger Druckmaschinen Aktiengesellschaft (OTCMKTS:HBGRY – Get Free Report)’s share price shot up 2.2% during trading on Thursday . The stock traded as high as $0.57 and last traded at $0.57. 126 shares were traded during trading, a decline of 93% from t…",Technology
"Bantec, Inc. (OTCMKTS:BANT – Get Free Report) was the recipient of a large drop in short interest in the month of October. As of October 31st, there was short interest totalling 1,400 shares, a drop of 73.1% from the October 15th total of 5,200 shares. Based …",Technology
"ASMPT Limited (OTCMKTS:ASMVY – Get Free Report) was the recipient of a significant increase in short interest during the month of October. As of October 31st, there was short interest totalling 1,300 shares, an increase of 550.0% from the October 15th total o…",Technology
"ASMPT Limited (OTCMKTS:ASMVF – Get Free Report) saw a large decline in short interest during the month of October. As of October 31st, there was short interest totalling 299,600 shares, a decline of 61.1% from the October 15th total of 770,300 shares. Based o…",Technology
"Applied UV, Inc. (NASDAQ:AUVIP – Get Free Report) was the recipient of a large decrease in short interest in the month of October. As of October 31st, there was short interest totalling 2,900 shares, a decrease of 48.2% from the October 15th total of 5,600 sh…",Technology
"Biodexa Pharmaceuticals Plc (NASDAQ:BDRX – Get Free Report) was the recipient of a large decrease in short interest in the month of October. As of October 31st, there was short interest totalling 10,500 shares, a decrease of 61.5% from the October 15th total …",Technology
"S4 Capital plc (LON:SFOR – Get Free Report)’s stock price reached a new 52-week low during mid-day trading on Thursday . The stock traded as low as GBX 51 ($0.63) and last traded at GBX 59 ($0.73), with a volume of 6140682 shares traded. The stock had previou…",Technology
StockNews.com initiated coverage on shares of Cantaloupe (NASDAQ:USAT – Free Report) in a research report released on Wednesday morning. The firm issued a hold rating on the stock. Cantaloupe Trading Down 3.9 % USAT opened at $6.39 on Wednesday. The stock has…,Technology
"Cogna Educação S.A. (OTCMKTS:COGNY – Get Free Report)’s stock price traded up 14.9% during mid-day trading on Thursday . The company traded as high as $0.54 and last traded at $0.54. 10,091 shares traded hands during trading, a decline of 79% from the average…",Technology
"Avantium (OTCMKTS:AVTXF – Get Free Report) was the recipient of a large drop in short interest in the month of October. As of October 31st, there was short interest totalling 500 shares, a drop of 86.1% from the October 15th total of 3,600 shares. Based on an…",Technology
"BIOLASE, Inc. (NASDAQ:BIOL – Get Free Report) was the recipient of a large decline in short interest during the month of October. As of October 31st, there was short interest totalling 8,600 shares, a decline of 70.1% from the October 15th total of 28,800 sha…",Technology
"Avantium (OTCMKTS:AVTXF – Get Free Report) shot up 19% on Thursday . The company traded as high as C$4.00 and last traded at C$4.00. 245 shares changed hands during trading, a decline of 71% from the average session volume of 838 shares. The stock had previou…",Technology
"HeartBeam, Inc. (NASDAQ:BEATW – Get Free Report) was the target of a large increase in short interest in the month of October. As of October 31st, there was short interest totalling 3,800 shares, an increase of 245.5% from the October 15th total of 1,100 shar…",Technology
"BMO Capital Markets lowered shares of Altus Group (TSE:AIF – Free Report) from an outperform rating to a market perform rating in a research note issued to investors on Friday, BayStreet.CA reports. BMO Capital Markets currently has C$53.00 price target on th…",Technology
"Inspire Medical Systems (NYSE:INSP – Free Report) had its price target reduced by Truist Financial from $260.00 to $240.00 in a report issued on Wednesday morning, Benzinga reports. They currently have a buy rating on the stock. A number of other equities res…",Technology
"Shares of Qiagen (NYSE:QGEN – Get Free Report) have earned a consensus recommendation of “Moderate Buy” from the five brokerages that are presently covering the firm, Marketbeat Ratings reports. One equities research analyst has rated the stock with a hold ra…",Technology
"Altus Group (TSE:AIF – Free Report) had its target price cut by Cormark from C$66.00 to C$54.00 in a research report report published on Friday, BayStreet.CA reports. Several other equities research analysts have also recently weighed in on AIF. Royal Bank of…",Technology
"AssetMark Financial (NYSE:AMK – Free Report) had its price objective reduced by BMO Capital Markets from $33.00 to $32.00 in a research note issued to investors on Tuesday morning, Benzinga reports. They currently have a market perform rating on the stock. A …",Technology
"Principal Financial Group Inc. lifted its holdings in Vanguard Intermediate-Term Corporate Bond ETF (NASDAQ:VCIT – Free Report) by 24.2% in the 2nd quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission. Th…",Technology
"Altus Group (TSE:AIF – Free Report) had its price target reduced by Canaccord Genuity Group from C$73.00 to C$63.00 in a report published on Friday, BayStreet.CA reports. They currently have a buy rating on the stock. Several other brokerages also recently we…",Technology
"Barrington Research upgraded shares of TTEC (NASDAQ:TTEC – Free Report) from a market perform rating to an outperform rating in a research note issued to investors on Friday morning, MarketBeat.com reports. The brokerage currently has $18.00 price objective o…",Technology
Altus Group (TSE:AIF – Get Free Report) was downgraded by research analysts at National Bank Financial from an “outperfrom under weight” rating to a “sector perform under weight” rating in a research report issued to clients and investors on Thursday. A numbe…,Technology
"Bishop & Co Investment Management LLC grew its stake in Vanguard Intermediate-Term Corporate Bond ETF (NASDAQ:VCIT – Free Report) by 7,691.8% in the 2nd quarter, according to its most recent filing with the SEC. The firm owned 28,146,376 shares of the company…",Technology
"TTEC (NASDAQ:TTEC – Get Free Report) updated its FY23 earnings guidance on Wednesday. The company provided earnings per share (EPS) guidance of $2.11-2.27 for the period, compared to the consensus estimate of $2.56. The company issued revenue guidance of $2.4…",Technology
Altus Group (TSE:AIF – Get Free Report) was downgraded by research analysts at National Bank Financial from an “outperfrom under weight” rating to a “sector perform under weight” rating in a report released on Thursday. Other equities analysts have also issue…,Technology
"Acadian Asset Management LLC grew its holdings in Tabula Rasa HealthCare, Inc. (NASDAQ:TRHC – Free Report) by 43.8% in the 2nd quarter, Holdings Channel reports. The fund owned 445,200 shares of the company’s stock after purchasing an additional 135,553 share…",Technology
“All my life has been about creating organisations which can scale and create behavioural patterns which are socially desirable and do collective good. That is where the stock exchange comes in so that we are able to create trust where a person sitting in Jor…,Technology
"Raiffeisen Bank International AG (OTCMKTS:RAIFY – Get Free Report) was the target of a significant decline in short interest in October. As of October 31st, there was short interest totalling 100 shares, a decline of 50.0% from the October 15th total of 200 s…",Technology
"Shares of Hitek Global Inc. (NASDAQ:HKIT – Get Free Report) fell 10% on Thursday . The company traded as low as $1.07 and last traded at $1.08. 63,112 shares were traded during trading, a decline of 87% from the average session volume of 494,791 shares. The s…",Technology
"Trend Micro Incorporated (OTCMKTS:TMICY – Get Free Report) was the target of a large increase in short interest in October. As of October 31st, there was short interest totalling 19,000 shares, an increase of 120.9% from the October 15th total of 8,600 shares…",Technology
"Softchoice (TSE:SFTC – Free Report) had its target price hoisted by TD Securities from C$24.00 to C$26.00 in a research note published on Friday morning, BayStreet.CA reports. They currently have a buy rating on the stock. Separately, CIBC boosted their targe…",Technology
"Smithfield Trust Co raised its holdings in Schlumberger Limited (NYSE:SLB – Free Report) by 10.6% in the second quarter, Holdings Channel.com reports. The fund owned 6,303 shares of the oil and gas company’s stock after buying an additional 606 shares during …",Technology
"Rhumbline Advisers boosted its position in shares of IQVIA Holdings Inc. (NYSE:IQV – Free Report) by 0.6% in the 2nd quarter, according to its most recent filing with the Securities and Exchange Commission. The fund owned 452,846 shares of the medical researc…",Technology
"Endava plc (NYSE:DAVA – Get Free Report) has received a consensus recommendation of “Buy” from the eight analysts that are presently covering the company, MarketBeat.com reports. Eight research analysts have rated the stock with a buy recommendation. The aver…",Technology
"TransMedics Group (NASDAQ:TMDX – Free Report) had its price target lifted by Morgan Stanley from $50.00 to $54.00 in a research note issued to investors on Tuesday, Benzinga reports. They currently have an equal weight rating on the stock. A number of other e…",Technology
"Capital One Financial upgraded shares of Confluent (NASDAQ:CFLT – Free Report) from an equal weight rating to an overweight rating in a research note issued to investors on Wednesday morning, MarketBeat Ratings reports. Capital One Financial currently has $27…",Technology
"Pekin Hardy Strauss Inc. bought a new stake in SoundHound AI, Inc. (NASDAQ:SOUN – Free Report) during the 2nd quarter, Holdings Channel reports. The firm bought 10,000 shares of the company’s stock, valued at approximately $46,000. A number of other instituti…",Technology
"TransMedics Group (NASDAQ:TMDX – Free Report) had its price target hoisted by JPMorgan Chase & Co. from $67.00 to $70.00 in a research report report published on Tuesday morning, Benzinga reports. JPMorgan Chase & Co. currently has an overweight rating on the…",Technology
"Vertex (NASDAQ:VERX – Free Report) had its price objective hoisted by Needham & Company LLC from $25.00 to $35.00 in a research report sent to investors on Friday morning, Benzinga reports. They currently have a buy rating on the stock. Other research analyst…",Technology
"Vertex (NASDAQ:VERX – Free Report) had its target price lifted by BMO Capital Markets from $24.00 to $28.00 in a report issued on Friday morning, Benzinga reports. The brokerage currently has a market perform rating on the stock. A number of other research fi…",Technology
"SoundHound AI (NASDAQ:SOUN – Get Free Report) posted its quarterly earnings data on Thursday. The company reported ($0.09) earnings per share (EPS) for the quarter, meeting the consensus estimate of ($0.09), Yahoo Finance reports. The business had revenue of …",Technology
"Zillow Group (NASDAQ:Z – Free Report) had its price target decreased by Morgan Stanley from $55.00 to $40.00 in a report published on Tuesday, Benzinga reports. Morgan Stanley currently has an equal weight rating on the financial services provider’s stock. A …",Technology
"TRACON Pharmaceuticals (NASDAQ:TCON – Get Free Report) and REGENXBIO (NASDAQ:RGNX – Get Free Report) are both small-cap medical companies, but which is the superior investment? We will contrast the two companies based on the strength of their profitability, e…",Technology
"Topgolf Callaway Brands (NYSE:MODG – Free Report) had its price target trimmed by The Goldman Sachs Group from $20.00 to $13.00 in a research note issued to investors on Friday, Benzinga reports. The brokerage currently has a neutral rating on the stock. Othe…",Technology
"Certara (NASDAQ:CERT – Get Free Report) issued an update on its FY23 earnings guidance on Wednesday morning. The company provided EPS guidance of $0.44-0.48 for the period, compared to the consensus EPS estimate of $0.45. The company issued revenue guidance o…",Technology
"SharkNinja (NYSE:SN – Get Free Report) issued its earnings results on Thursday. The company reported 0.95 earnings per share (EPS) for the quarter, beating analysts’ consensus estimates of 0.81 by 0.14, Briefing.com reports. The company had revenue of 1.07 bi…",Technology
"Bluejay Diagnostics, Inc. (NASDAQ:BJDX – Get Free Report) was the recipient of a large decrease in short interest in the month of October. As of October 31st, there was short interest totalling 7,000 shares, a decrease of 66.2% from the October 15th total of …",Technology
"Siemens Aktiengesellschaft (OTCMKTS:SIEGY – Get Free Report) was the recipient of a significant decrease in short interest during the month of October. As of October 31st, there was short interest totalling 19,400 shares, a decrease of 34.5% from the October …",Technology
"RB Global (TSE:RBA – Free Report) (NYSE:RBA) had its price target boosted by Raymond James from C$75.00 to C$78.00 in a research note published on Friday, BayStreet.CA reports. They currently have an outperform rating on the stock. Separately, Royal Bank of C…",Technology
"INVO Bioscience, Inc. (NASDAQ:INVO – Get Free Report) shares traded down 12.1% during mid-day trading on Thursday . The company traded as low as $0.63 and last traded at $0.69. 161,261 shares changed hands during mid-day trading, a decline of 74% from the ave…",Technology
"Next 15 Group plc (LON:NFG – Get Free Report)’s share price was down 0.1% during trading on Thursday . The stock traded as low as GBX 697 ($8.60) and last traded at GBX 699 ($8.63). Approximately 660,464 shares traded hands during trading, an increase of 205%…",Technology
"SKYX Platforms (NASDAQ:SKYX – Get Free Report) is scheduled to announce its earnings results after the market closes on Monday, November 13th. SKYX Platforms (NASDAQ:SKYX – Get Free Report) last announced its earnings results on Wednesday, August 9th. The com…",Technology
"Energous (NASDAQ:WATT – Get Free Report) announced its earnings results on Thursday. The industrial products company reported ($0.96) earnings per share (EPS) for the quarter, reports. The business had revenue of $0.17 million for the quarter. Energous had a …",Technology
"VerticalScope (TSE:FORA – Free Report) had its target price hoisted by Cormark from C$7.60 to C$8.25 in a report issued on Friday morning, BayStreet.CA reports. Several other brokerages also recently weighed in on FORA. TD Securities lifted their target price…",Technology
"Craig Hallum reissued their hold rating on shares of ProSomnus (NASDAQ:OSA – Free Report) in a report released on Friday, Benzinga reports. The brokerage currently has a $1.00 price target on the stock. Separately, Roth Mkm reduced their target price on ProSo…",Technology
"India News: MUMBAI: The director of the Indian Institute of Technology Bombay on Saturday appointed a fact-finding committee to inquire into the alleged ""inflamma.",Technology
"Illumina (NASDAQ:ILMN – Get Free Report) issued an update on its FY 2023 earnings guidance on Thursday morning. The company provided earnings per share (EPS) guidance of $0.60-$0.70 for the period, compared to the consensus estimate of $0.60. The company issu…",Science
FC Barcelona will finally welcome a previously injured player back to the starting lineup when they take on Alaves at the Montjuic Stadium in La Liga Sunday afternoon.,Fitness
